time,position,positionVelocity,angle,angleVelocity,force,calculationTime
2.8,0.0703453911119272,-0.283541603991292,0.00140268188712609,0.017416768172361,0.0303040258586407,0.002303
2.82,0.0646802543055291,-0.282972899936737,0.00174693742449695,0.0170268981629636,0.0323995165526867,0.00325
2.84,0.0590268514470969,-0.28236819165917,0.00208386046731933,0.0166831329193331,0.034327931702137,0.004251
2.86,0.0533858710277803,-0.281730640758132,0.00241439986051493,0.0163881973203787,0.0363861918449402,0.002648
2.88,0.0477579961057831,-0.281057628858856,0.00273947505011825,0.0161364250578808,0.0385733172297478,0.002347
2.9,0.04214396178912,-0.280346569091383,0.00305989522633233,0.0159224510562848,0.0408851765096188,0.002333
2.92,0.0365445540060809,-0.279594966050386,0.00337636592939655,0.0157412699415854,0.0433172471821308,0.002385
2.94,0.030960607614136,-0.278800421992013,0.00368949603855304,0.0155882159025341,0.0458637103438377,0.003274
2.96,0.0253930042072831,-0.277960660792674,0.00399980464495889,0.0154589712178956,0.0485172495245934,0.003345
2.98,0.0198426694039721,-0.277073555933096,0.0043077281759215,0.0153495828747223,0.0512606352567673,0.002629
3,0.0143105679322193,-0.276137322802003,0.00461363033865267,0.0152567280500939,0.0534554049372673,0.00238
3.02,0.00879757558091805,-0.275162640212374,0.00491799642536613,0.0151958944480837,0.0550825446844101,0.002376
3.04,0.00330435076820394,-0.274160567185345,0.00522162890724266,0.0151833289477742,0.0570518188178539,0.003792
3.06,-0.00216849187780519,-0.273124423850284,0.00552539165900108,0.0152089282775689,0.0593305006623268,0.004741
3.08,-0.0076202106318293,-0.272048179907299,0.00582995858850952,0.0152637890287869,0.0618872232735157,0.004137
3.1,-0.0130499493714074,-0.270926425538946,0.00613583666141613,0.0153401116043176,0.0649200081825256,0.003926
3.12,-0.018456705203447,-0.269749892991798,0.00644332030169194,0.015424430257091,0.0684653595089912,0.003669
3.14,-0.0238392827862739,-0.268508604493326,0.00675242457618112,0.015502260325484,0.0722474232316017,0.00422
3.16,-0.0291963410381164,-0.267197963305463,0.00706295538070873,0.0155671583567717,0.0757444947957993,0.003719
3.18,-0.0345265487077668,-0.265823549276637,0.00737474176433081,0.0156278843295812,0.078879326581955,0.003517
3.2,-0.0398287011979549,-0.264392448424028,0.00768781024007027,0.0156954350483576,0.0821788460016251,0.003109
